trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",35,0,-142.4374187165065,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.95}",20,3,-55.327400152226545,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.9025}",25,0,-141.83428677296877,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.8573749999999999}",25,0,-89.25599030657159,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.8145062499999999}",35,8,5.48350658676423,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.7737809374999998}",20,0,-73.96559916869269,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.7350918906249998}",20,0,-45.47257614923824,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.6983372960937497}",20,0,-56.49028940305588,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.6634204312890623}",25,0,-87.77219890357237,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.6302494097246091}",20,0,-83.52005710376307,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.5987369392383787}",20,0,-192.03543631652468,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.6, 'e': 0.5688000922764597}",30,7,-70.40589153182061,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.6, 'e': 0.5403600876626367}",30,2,-13.409701586559517,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.5133420832795048}",25,15,-72.51476521624417,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.48767497911552954}",25,10,-31.555775771857657,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.46329123015975304}",20,0,5.114167043211522,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.44012666865176536}",25,4,-13.52247586200336,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.6, 'e': 0.4181203352191771}",20,0,-25.88876964192361,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.3972143184582182}",20,9,-43.33496946475028,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.6, 'e': 0.37735360253530725}",20,11,-67.54006841753765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.6, 'e': 0.3584859224085419}",20,0,-17.41200091535002,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.3405616262881148}",25,16,-5.541726925374773,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.6, 'e': 0.323533544973709}",20,0,15.481849275073191,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.6, 'e': 0.3073568677250236}",20,0,3.115457609652347,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.2919890243387724}",25,0,-67.78455660660502,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.27738957312183377}",20,13,12.092106989209139,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.26352009446574204}",25,5,-47.482019506924445,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.6, 'e': 0.2503440897424549}",20,6,-45.194615568618175,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.6, 'e': 0.23782688525533216}",20,5,12.834991594068882,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.6, 'e': 0.22593554099256555}",30,14,27.51019684419796,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.6, 'e': 0.21463876394293727}",25,5,-40.562736590705214,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.6, 'e': 0.2039068257457904}",25,0,14.335529686622586,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.19371148445850087}",20,4,-24.320945632110327,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.6, 'e': 0.18402591023557582}",25,7,29.668200115881564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.6, 'e': 0.174824614723797}",30,4,26.507456653080133,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.6, 'e': 0.16608338398760716}",20,0,32.180652644586424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.6, 'e': 0.1577792147882268}",20,7,22.092865625140348,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.6, 'e': 0.14989025404881545}",35,3,9.493939138290221,"{0: 30, 1: 0, 2: 0, 3: 2, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.14239574134637467}",25,15,16.690717900034628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.6, 'e': 0.13527595427905592}",30,16,23.577798758250864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.12851215656510312}",25,6,30.507498369187058,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.6, 'e': 0.12208654873684796}",25,12,-19.631525879367473,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.6, 'e': 0.11598222130000556}",25,6,-22.05741228445293,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
44,False,"{'a': 0.6, 'e': 0.11018311023500528}",25,3,-8.35312097746289,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.10467395472325501}",20,7,10.739852848954841,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.6, 'e': 0.09944025698709225}",20,10,19.006608862217576,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.09446824413773763}",25,19,12.191883548280869,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.6, 'e': 0.08974483193085075}",25,15,19.761537873558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.6, 'e': 0.0852575903343082}",25,8,26.579752700459547,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.0809947108175928}",20,13,14.593932616787793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.07694497527671315}",25,12,22.57485967351872,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.6, 'e': 0.07309772651287749}",20,14,11.121328495004201,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.6, 'e': 0.06944284018723361}",25,12,24.794745802835465,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.06597069817787193}",30,9,-10.22211439622482,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.6, 'e': 0.06267216326897833}",20,14,13.976095427148255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.6, 'e': 0.05953855510552941}",35,20,26.57133924937404,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
