trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.36456221073402,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.5588572395422,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-138.43255324292704,"{0: 19, 1: 6, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.61764184685276,"{0: 20, 1: 5, 2: 1, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.25548901655884,"{0: 21, 1: 9, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.49380549087402,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,5,-34.37531116957029,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.40394620276848,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.27190332147518,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.5570006065006,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.9438836217587,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-90.64407312055533,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.81570113216368,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.51793229478878,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.33348388282354,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.12818514354562,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.6081488533298,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.4322919913385,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.88008489758445,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.95967655961081,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.89773163560936,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.07052118796335,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.78168028090217,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.35098448283938,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,8,-227.9760787820775,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 4}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.96198541249227,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-15.0035356386771,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.434177825510105,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.36884377363331,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-189.49207149091887,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
